"","Area","Protected","SiteID","Point","PointID","SoilType","PctClay","Lat","Long","DistWater","Elev","TreeCov%","Floodplain","CatGrazing","Fire","hab_type","FreshWgtCor","PctWaterCt","ShanDiv","SpecRich","taxa","num_ind","logBiomass","logRainprev_30","logRainprev_7","logRainprev_2","logSpecAbun","logNum_ind","presence","proportion"
"1","ENO","Y","A","1","A 1","Clay",0.75,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",20.9525,0.513542537,1.15374194270109,4,"Earthworms",4,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,1.6094379124341,1,0.8
"2","ENO","Y","A","1","A 1","Clay",0.75,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",20.9525,0.513542537,1.15374194270109,4,"Ants",1,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,0.693147180559945,1,0.2
"3","ENO","Y","A","1","A 1","Clay",0.75,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",20.9525,0.513542537,1.15374194270109,4,"Termites",0,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,0,0,0
"4","ENO","Y","A","2","A 2","SiltyClayLoam",0.375,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",24.4025,0.554041594,0.410116318288409,2,"Earthworms",0,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,0,0,0
"5","ENO","Y","A","2","A 2","SiltyClayLoam",0.375,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",24.4025,0.554041594,0.410116318288409,2,"Ants",6,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,1.94591014905531,1,1
"6","ENO","Y","A","2","A 2","SiltyClayLoam",0.375,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",24.4025,0.554041594,0.410116318288409,2,"Termites",0,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,0,0,0
"7","ENO","Y","A","3","A 3","SiltyClayLoam",0.33333,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",17.3225,0.495886852,0.918427784993098,3,"Earthworms",5,3.31998732623661,4.66814498514948,3.80666248977032,0,2.56494935746154,1.79175946922805,1,0.454545454545455
"8","ENO","Y","A","3","A 3","SiltyClayLoam",0.33333,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",17.3225,0.495886852,0.918427784993098,3,"Ants",6,3.31998732623661,4.66814498514948,3.80666248977032,0,2.56494935746154,1.94591014905531,1,0.545454545454545
"9","ENO","Y","A","3","A 3","SiltyClayLoam",0.33333,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",17.3225,0.495886852,0.918427784993098,3,"Termites",0,3.31998732623661,4.66814498514948,3.80666248977032,0,2.56494935746154,0,0,0
"10","ENO","Y","A","4","A 4","SiltyClayLoam",0.33333,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",21.9225,0.529592884,1.01140426470735,3,"Earthworms",2,3.31998732623661,4.66814498514948,3.80666248977032,0,1.94591014905531,1.09861228866811,1,0.666666666666667
