"","PctClay","Elev","hab_type","FreshWgtCor","PctWaterCt","logDistWater","logBiomass"
"1",0.75,1722,"grassland",20.9525,0.513542537,5.83860470046365,3.31998732623661
"2",0.375,1722,"grassland",24.4025,0.554041594,5.83860470046365,3.31998732623661
"3",0.33333,1722,"grassland",17.3225,0.495886852,5.83860470046365,3.31998732623661
"4",0.33333,1722,"grassland",21.9225,0.529592884,5.83860470046365,3.31998732623661
"5",0.32,1722,"grassland",33.2925,0.517533979,5.83860470046365,3.31998732623661
"6",0.74,1718,"grassland",16.3025,0.453304708,6.72359202730881,3.98638808738345
"7",0.355,1718,"grassland",21.4025,0.407896274,6.72359202730881,3.98638808738345
"8",0.57,1718,"grassland",26.1325,0.471443605,6.72359202730881,3.98638808738345
"10",0.639,1718,"grassland",10.4325,0.508027798,6.72359202730881,3.98638808738345
"11",0.61,1724,"wetland",44.3625,0.609298394,6.34581178403754,3.98638808738345
"12",0.5,1724,"wetland",32.1225,0.536384154,6.34581178403754,3.98638808738345
"13",0.657,1724,"wetland",78.8725,0.566864243,6.34581178403754,3.98638808738345
"14",0.35,1724,"wetland",63.4225,0.416886752,6.34581178403754,3.98638808738345
"15",0.72,1724,"wetland",65.7225,0.503176233,6.34581178403754,3.98638808738345
"16",0.282,1714,"humanuse",17.9825,0.354789379,6.423084612693,2.99872778253379
"17",0.214,1714,"humanuse",14.3325,0.379556951,6.423084612693,2.99872778253379
"18",0.3714,1714,"humanuse",6.2325,0.341756919,6.423084612693,2.99872778253379
"19",0.1429,1714,"humanuse",5.6025,0.25167336,6.423084612693,2.99872778253379
"20",0.2857,1714,"humanuse",3.0525,0.425880426,6.423084612693,2.99872778253379
"21",0.5,1796,"grassland",42.4225,0.508456597,7.05626148728136,3.31998732623661
"22",0.211,1796,"grassland",9.9825,0.447783621,7.05626148728136,3.31998732623661
"23",0.2857,1796,"grassland",6.1825,0.284674484,7.05626148728136,3.31998732623661
"24",0.176,1796,"grassland",13.3825,0.483467215,7.05626148728136,3.31998732623661
"25",0.5,1796,"grassland",62.4225,0.496776002,7.05626148728136,3.31998732623661
"26",1,1694,"humanuse",13.2225,0.44469654,6.04547913541422,2.99872778253379
"27",0.2857,1694,"humanuse",28.4025,0.435877123,6.04547913541422,2.99872778253379
"28",0.35,1694,"humanuse",19.1625,0.323026745,6.04547913541422,2.99872778253379
"29",0.91,1694,"humanuse",13.2425,0.491599018,6.04547913541422,2.99872778253379
"30",0.24,1694,"humanuse",28.4925,0.398350443,6.04547913541422,2.99872778253379
"32",0.25,1693,"humanuse",76.2825,0.399174123,5.65669086712235,2.99872778253379
"35",0.6875,1693,"humanuse",92.6025,0.391350126,5.65669086712235,2.99872778253379
"36",1,1715,"grassland",46.8925,0.497947433,6.35367414654519,3.31998732623661
"37",0.6666,1715,"grassland",22.0625,0.438753541,6.35367414654519,3.31998732623661
"38",0.7186,1715,"grassland",26.3225,0.455503847,6.35367414654519,3.31998732623661
"39",1,1715,"grassland",23.2925,0.466673822,6.35367414654519,3.31998732623661
"40",1,1715,"grassland",23.2325,0.408909932,6.35367414654519,3.31998732623661
"41",0.4516,1712,"wetland",55.5525,0.436704019,6.32400047519339,3.31998732623661
"42",0.55,1712,"wetland",17.2825,0.384203674,6.32400047519339,3.31998732623661
"43",0.545,1712,"wetland",16.3925,0.425194449,6.32400047519339,3.31998732623661
"44",0.639,1712,"wetland",79.6025,0.328004774,6.32400047519339,3.31998732623661
"45",0.4737,1712,"wetland",70.3025,0.389317592,6.32400047519339,3.31998732623661
"46",0.5,1703,"wetland",61.4525,0.470119198,4.81705054502359,3.31998732623661
"47",0.5806,1703,"wetland",45.0525,0.3589146,4.81705054502359,3.31998732623661
"48",1,1703,"wetland",65.4925,0.476695805,4.81705054502359,3.31998732623661
"49",0.6429,1703,"wetland",62.4325,0.451047131,4.81705054502359,3.31998732623661
"50",0.617,1703,"wetland",101.7825,0.479060742,4.81705054502359,3.31998732623661
"51",0.6129,1736,"grassland",13.4325,0.5360134,7.46020257743895,3.31998732623661
"52",0.516,1736,"grassland",47.4225,0.483525753,7.46020257743895,3.31998732623661
"53",0.619,1736,"grassland",45.4025,0.396233688,7.46020257743895,3.31998732623661
"54",0.448,1736,"grassland",25.6025,0.507762914,7.46020257743895,3.31998732623661
