"","Area","Protected","SiteID","Point","PointID","SoilType","PctClay","Lat","Long","DistWater","Elev","TreeCov%","Floodplain","CatGrazing","Fire","hab_type","FreshWgtCor","PctWaterCt","ShanDiv","SpecRich","taxa","num_ind","logBiomass","logRainprev_30","logRainprev_7","logRainprev_2","logSpecAbun","logNum_ind","presence","proportion"
"1","ENO","Y","A","1","A 1","Clay",0.75,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",20.9525,0.513542537,1.15374194270109,4,"Earthworms",4,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,1.6094379124341,1,0.8
"2","ENO","Y","A","2","A 2","SiltyClayLoam",0.375,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",24.4025,0.554041594,0.410116318288409,2,"Earthworms",0,3.31998732623661,4.66814498514948,3.80666248977032,0,2.07944154167984,0,0,0
"3","ENO","Y","A","3","A 3","SiltyClayLoam",0.33333,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",17.3225,0.495886852,0.918427784993098,3,"Earthworms",5,3.31998732623661,4.66814498514948,3.80666248977032,0,2.56494935746154,1.79175946922805,1,0.454545454545455
"4","ENO","Y","A","4","A 4","SiltyClayLoam",0.33333,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",21.9225,0.529592884,1.01140426470735,3,"Earthworms",2,3.31998732623661,4.66814498514948,3.80666248977032,0,1.94591014905531,1.09861228866811,1,0.666666666666667
"5","ENO","Y","A","5","A 5","SiltyClayLoam",0.32,"S01°05'08.0""","E035°14'18.2""",342.3,1722,9,"N","MOD","N","grassland",33.2925,0.517533979,1.05091061981759,6,"Earthworms",2,3.31998732623661,4.66814498514948,3.80666248977032,0,4.04305126783455,1.09861228866811,1,0.0377358490566038
"6","ENO","Y","B","1","B 1","Clay",0.74,"S01°04'33.4""","E035°14'46.4""",830.8,1718,12,"N","MOD","N","grassland",16.3025,0.453304708,0.469387070496881,6,"Earthworms",2,3.98638808738345,4.66814498514948,3.80666248977032,0,4.83628190695148,1.09861228866811,1,0.0175438596491228
"7","ENO","Y","B","2","B 2","SiltyClayLoam",0.355,"S01°04'33.4""","E035°14'46.4""",830.8,1718,12,"N","MOD","N","grassland",21.4025,0.407896274,1.40127664864337,5,"Earthworms",0,3.98638808738345,4.66814498514948,3.80666248977032,0,2.89037175789616,0,0,0
"8","ENO","Y","B","3","B 3","SiltyClay",0.57,"S01°04'33.4""","E035°14'46.4""",830.8,1718,12,"N","MOD","N","grassland",26.1325,0.471443605,1.09208724743663,5,"Earthworms",10,3.98638808738345,4.66814498514948,3.80666248977032,0,4.00733318523247,2.39789527279837,1,0.222222222222222
"9","ENO","Y","B","4","B 4","Clay",NA,"S01°04'33.4""","E035°14'46.4""",830.8,1718,12,"N","MOD","N","grassland",37.3025,0.352255211,1.47507631105469,5,"Earthworms",1,3.98638808738345,4.66814498514948,3.80666248977032,0,2.07944154167984,0.693147180559945,1,0.25
"10","ENO","Y","B","5","B 5","Clay",0.639,"S01°04'33.4""","E035°14'46.4""",830.8,1718,12,"N","MOD","N","grassland",10.4325,0.508027798,0.500402423538188,2,"Earthworms",0,3.98638808738345,4.66814498514948,3.80666248977032,0,1.79175946922805,0,0,0
